Machine Type,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
Floor Level Module And 1-4 Zone Elevated Module,2.66,0.798,3.458,0.3458,3.8038
5-8 Zone Elevated Module,2.7,0.81,3.51,0.351,3.861
