Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,279.17,83.751,362.921,36.2921,399.2131,290.3369,689.55
5,2,279.17,83.751,362.921,36.2921,399.2131,550.9229,979.88
5,3,279.17,83.751,362.921,36.2921,399.2131,811.5089,1270.21
6,1,299.97,89.991,389.961,38.9961,428.9571,378.1469,777.36
6,2,299.97,89.991,389.961,38.9961,428.9571,696.8029,1125.76
6,3,299.97,89.991,389.961,38.9961,428.9571,1015.4589,1474.16
7,1,320.77,96.231,417.001,41.7001,458.7011,465.9569,865.17
7,2,320.77,96.231,417.001,41.7001,458.7011,842.6729,1271.63
7,3,320.77,96.231,417.001,41.7001,458.7011,1219.3989,1678.1
