Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,4.55,0.46,5.01,0.5,5.51,8.67,14.18
5,2,4.55,0.46,5.01,0.5,5.51,17.33,22.84
5,3,4.55,0.46,5.01,0.5,5.51,26.0,31.51
6,1,4.55,0.46,5.01,0.5,5.51,10.4,15.91
6,2,4.55,0.46,5.01,0.5,5.51,20.8,26.31
6,3,4.55,0.46,5.01,0.5,5.51,31.2,36.71
7,1,4.55,0.46,5.01,0.5,5.51,12.13,17.64
7,2,4.55,0.46,5.01,0.5,5.51,24.27,29.77
7,3,4.55,0.46,5.01,0.5,5.51,36.4,41.91
