Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,102.17,20.43,122.6,12.26,134.86
6,112.57,22.51,135.08,13.51,148.59
7,122.97,24.59,147.56,14.76,162.32
