Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,1151.52,345.456,1496.976,194.60688,1691.58288,234.0,1925.58288
6,1,1130.05,339.015,1469.065,190.97845,1660.04345,280.8,1940.84345
7,1,1508.58,452.574,1961.154,254.95002,2216.10402,327.6,2543.70402
5,2,1151.52,345.456,1496.976,194.60688,1691.58288,359.67,2051.25288
6,2,1130.05,339.015,1469.065,190.97845,1660.04345,431.6,2091.64345
7,2,1508.58,452.574,1961.154,254.95002,2216.10402,503.53,2719.63402
