Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Total (hrs/yr)
5,7.57,2.27,9.84,0.98,10.82,10.82
6,7.57,2.27,9.84,0.98,10.83,10.83
7,7.57,2.27,9.84,0.98,10.83,10.83
