Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,904.8,271.44,1176.24,117.624,1293.864,277.33,1571.194
126,5,1,925.24,277.572,1202.812,120.2812,1323.0932,277.33,1600.4232
142,5,1,941.37,282.411,1223.781,122.3781,1346.1591,277.33,1623.4891
158,5,1,957.51,287.253,1244.763,124.4763,1369.2393,277.33,1646.5693
174,5,1,973.62,292.086,1265.706,126.5706,1392.2766,277.33,1669.6066
190,5,1,994.17,298.251,1292.421,129.2421,1421.6631,277.33,1698.9931
206,5,1,1010.32,303.096,1313.416,131.3416,1444.7576,277.33,1722.0876
222,5,1,1026.43,307.929,1334.359,133.4359,1467.7949,277.33,1745.1249
238,5,1,1042.55,312.765,1355.315,135.5315,1490.8465,277.33,1768.1765
254,5,1,1062.94,318.882,1381.822,138.1822,1520.0042,277.33,1797.3342
270,5,1,1079.04,323.712,1402.752,140.2752,1543.0272,277.33,1820.3572
286,5,1,1095.18,328.554,1423.734,142.3734,1566.1074,277.33,1843.4374
302,5,1,1111.32,333.396,1444.716,144.4716,1589.1876,277.33,1866.5176
110,6,1,1047.8,314.34,1362.14,136.214,1498.354,332.8,1831.154
126,6,1,1069.97,320.991,1390.961,139.0961,1530.0571,332.8,1862.8571
142,6,1,1086.97,326.091,1413.061,141.3061,1554.3671,332.8,1887.1671
158,6,1,1103.98,331.194,1435.174,143.5174,1578.6914,332.8,1911.4914
174,6,1,1120.95,336.285,1457.235,145.7235,1602.9585,332.8,1935.7585
190,6,1,1143.24,342.972,1486.212,148.6212,1634.8332,332.8,1967.6332
206,6,1,1160.25,348.075,1508.325,150.8325,1659.1575,332.8,1991.9575
222,6,1,1177.23,353.169,1530.399,153.0399,1683.4389,332.8,2016.2389
238,6,1,1194.22,358.266,1552.486,155.2486,1707.7346,332.8,2040.5346
254,6,1,1216.34,364.902,1581.242,158.1242,1739.3662,332.8,2072.1662
270,6,1,1233.31,369.993,1603.303,160.3303,1763.6333,332.8,2096.4333
286,6,1,1250.31,375.093,1625.403,162.5403,1787.9433,332.8,2120.7433
302,6,1,1267.32,380.196,1647.516,164.7516,1812.2676,332.8,2145.0676
110,7,1,1190.8,357.24,1548.04,154.804,1702.844,338.27,2041.114
126,7,1,1214.7,364.41,1579.11,157.911,1737.021,338.27,2075.291
142,7,1,1232.57,369.771,1602.341,160.2341,1762.5751,338.27,2100.8451
158,7,1,1250.45,375.135,1625.585,162.5585,1788.1435,338.27,2126.4135
174,7,1,1268.28,380.484,1648.764,164.8764,1813.6404,338.27,2151.9104
