Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
190,7,1,1292.31,387.693,1680.003,168.0003,1848.0033,338.27,2186.2733
206,7,1,1310.18,393.054,1703.234,170.3234,1873.5574,338.27,2211.8274
222,7,1,1328.3,398.49,1726.79,172.679,1899.469,338.27,2237.739
238,7,1,1345.89,403.767,1749.657,174.9657,1924.6227,338.27,2262.8927
254,7,1,1369.74,410.922,1780.662,178.0662,1958.7282,338.27,2296.9982
270,7,1,1387.58,416.274,1803.854,180.3854,1984.2394,338.27,2322.5094
286,7,1,1405.44,421.632,1827.072,182.7072,2009.7792,338.27,2348.0492
302,7,1,1423.32,426.996,1850.316,185.0316,2035.3476,338.27,2373.6176
110,5,2,904.8,271.44,1176.24,117.624,1293.864,554.67,1848.534
126,5,2,925.24,277.572,1202.812,120.2812,1323.0932,554.67,1877.7632
142,5,2,941.37,282.411,1223.781,122.3781,1346.1591,554.67,1900.8291
158,5,2,957.51,287.253,1244.763,124.4763,1369.2393,554.67,1923.9093
174,5,2,973.62,292.086,1265.706,126.5706,1392.2766,554.67,1946.9466
190,5,2,994.17,298.251,1292.421,129.2421,1421.6631,554.67,1976.3331
206,5,2,1010.32,303.096,1313.416,131.3416,1444.7576,554.67,1999.4276
222,5,2,1026.43,307.929,1334.359,133.4359,1467.7949,554.67,2022.4649
238,5,2,1042.55,312.765,1355.315,135.5315,1490.8465,554.67,2045.5165
254,5,2,1062.94,318.882,1381.822,138.1822,1520.0042,554.67,2074.6742
270,5,2,1079.04,323.712,1402.752,140.2752,1543.0272,554.67,2097.6972
286,5,2,1095.18,328.554,1423.734,142.3734,1566.1074,554.67,2120.7774
302,5,2,1111.32,333.396,1444.716,144.4716,1589.1876,554.67,2143.8576
110,6,2,1047.8,314.34,1362.14,136.214,1498.354,665.6,2163.954
126,6,2,1069.97,320.991,1390.961,139.0961,1530.0571,665.6,2195.6571
142,6,2,1086.97,326.091,1413.061,141.3061,1554.3671,665.6,2219.9671
158,6,2,1103.98,331.194,1435.174,143.5174,1578.6914,665.6,2244.2914
174,6,2,1120.95,336.285,1457.235,145.7235,1602.9585,665.6,2268.5585
190,6,2,1143.24,342.972,1486.212,148.6212,1634.8332,665.6,2300.4332
206,6,2,1160.25,348.075,1508.325,150.8325,1659.1575,665.6,2324.7575
222,6,2,1177.23,353.169,1530.399,153.0399,1683.4389,665.6,2349.0389
238,6,2,1194.22,358.266,1552.486,155.2486,1707.7346,665.6,2373.3346
254,6,2,1216.34,364.902,1581.242,158.1242,1739.3662,665.6,2404.9662
270,6,2,1233.31,369.993,1603.303,160.3303,1763.6333,665.6,2429.2333
286,6,2,1250.31,375.093,1625.403,162.5403,1787.9433,665.6,2453.5433
302,6,2,1267.32,380.196,1647.516,164.7516,1812.2676,665.6,2477.8676
110,7,2,1190.8,357.24,1548.04,154.804,1702.844,776.53,2479.374
126,7,2,1214.7,364.41,1579.11,157.911,1737.021,776.53,2513.551
142,7,2,1232.57,369.771,1602.341,160.2341,1762.5751,776.53,2539.1051
158,7,2,1250.45,375.135,1625.585,162.5585,1788.1435,776.53,2564.6735
174,7,2,1268.28,380.484,1648.764,164.8764,1813.6404,776.53,2590.1704
190,7,2,1292.31,387.693,1680.003,168.0003,1848.0033,776.53,2624.5333
206,7,2,1310.18,393.054,1703.234,170.3234,1873.5574,776.53,2650.0874
222,7,2,1328.3,398.49,1726.79,172.679,1899.469,776.53,2675.999
238,7,2,1345.89,403.767,1749.657,174.9657,1924.6227,776.53,2701.1527
254,7,2,1369.74,410.922,1780.662,178.0662,1958.7282,776.53,2735.2582
270,7,2,1387.58,416.274,1803.854,180.3854,1984.2394,776.53,2760.7694
286,7,2,1405.44,421.632,1827.072,182.7072,2009.7792,776.53,2786.3092
302,7,2,1423.32,426.996,1850.316,185.0316,2035.3476,776.53,2811.8776
110,5,3,904.8,271.44,1176.24,117.624,1293.864,832.0,2125.864
126,5,3,925.24,277.572,1202.812,120.2812,1323.0932,832.0,2155.0932
142,5,3,941.37,282.411,1223.781,122.3781,1346.1591,832.0,2178.1591
158,5,3,957.51,287.253,1244.763,124.4763,1369.2393,832.0,2201.2393
174,5,3,973.62,292.086,1265.706,126.5706,1392.2766,832.0,2224.2766
190,5,3,994.17,298.251,1292.421,129.2421,1421.6631,832.0,2253.6631
206,5,3,1010.32,303.096,1313.416,131.3416,1444.7576,832.0,2276.7576
222,5,3,1026.43,307.929,1334.359,133.4359,1467.7949,832.0,2299.7949
238,5,3,1042.55,312.765,1355.315,135.5315,1490.8465,832.0,2322.8465
254,5,3,1062.94,318.882,1381.822,138.1822,1520.0042,832.0,2352.0042
270,5,3,1079.04,323.712,1402.752,140.2752,1543.0272,832.0,2375.0272
286,5,3,1095.18,328.554,1423.734,142.3734,1566.1074,832.0,2398.1074
302,5,3,1111.32,333.396,1444.716,144.4716,1589.1876,832.0,2421.1876
110,6,3,1047.8,314.34,1362.14,136.214,1498.354,998.4,2496.754
126,6,3,1069.97,320.991,1390.961,139.0961,1530.0571,998.4,2528.4571
142,6,3,1086.97,326.091,1413.061,141.3061,1554.3671,998.4,2552.7671
158,6,3,1103.98,331.194,1435.174,143.5174,1578.6914,998.4,2577.0914
174,6,3,1120.95,336.285,1457.235,145.7235,1602.9585,998.4,2601.3585
190,6,3,1143.24,342.972,1486.212,148.6212,1634.8332,998.4,2633.2332
206,6,3,1160.25,348.075,1508.325,150.8325,1659.1575,998.4,2657.5575
222,6,3,1177.23,353.169,1530.399,153.0399,1683.4389,998.4,2681.8389
238,6,3,1194.22,358.266,1552.486,155.2486,1707.7346,998.4,2706.1346
254,6,3,1216.34,364.902,1581.242,158.1242,1739.3662,998.4,2737.7662
270,6,3,1233.31,369.993,1603.303,160.3303,1763.6333,998.4,2762.0333
286,6,3,1250.31,375.093,1625.403,162.5403,1787.9433,998.4,2786.3433
302,6,3,1267.32,380.196,1647.516,164.7516,1812.2676,998.4,2810.6676
110,7,3,1190.8,357.24,1548.04,154.804,1702.844,1164.8,2867.644
126,7,3,1214.7,364.41,1579.11,157.911,1737.021,1164.8,2901.821
142,7,3,1232.57,369.771,1602.341,160.2341,1762.5751,1164.8,2927.3751
158,7,3,1250.45,375.135,1625.585,162.5585,1788.1435,1164.8,2952.9435
174,7,3,1268.28,380.484,1648.764,164.8764,1813.6404,1164.8,2978.4404
190,7,3,1292.31,387.693,1680.003,168.0003,1848.0033,1164.8,3012.8033
206,7,3,1310.18,393.054,1703.234,170.3234,1873.5574,1164.8,3038.3574
222,7,3,1328.3,398.49,1726.79,172.679,1899.469,1164.8,3064.269
238,7,3,1345.89,403.767,1749.657,174.9657,1924.6227,1164.8,3089.4227
254,7,3,1369.74,410.922,1780.662,178.0662,1958.7282,1164.8,3123.5282
270,7,3,1387.58,416.274,1803.854,180.3854,1984.2394,1164.8,3149.0394
286,7,3,1405.44,421.632,1827.072,182.7072,2009.7792,1164.8,3174.5792
302,7,3,1423.32,426.996,1850.316,185.0316,2035.3476,1164.8,3200.1476
