Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,172,17,189,18.9,207.9
6,193,19,212,21.1,233.1
7,214,21,235,18.9,253.9
