Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,548.13,164.439,712.569,71.2569,783.8259,199.33,983.1559
126,5,1,567.48,170.244,737.724,73.7724,811.4964,199.33,1010.8264
142,5,1,582.37,174.711,757.081,75.7081,832.7891,199.33,1032.1191
158,5,1,597.31,179.193,776.503,77.6503,854.1533,199.33,1053.4833
174,5,1,612.19,183.657,795.847,79.5847,875.4317,199.33,1074.7617
190,5,1,631.57,189.471,821.041,82.1041,903.1451,199.33,1102.4751
206,5,1,646.45,193.935,840.385,84.0385,924.4235,199.33,1123.7535
222,5,1,661.4,198.42,859.82,85.982,945.802,199.33,1145.132
238,5,1,676.26,202.878,879.138,87.9138,967.0518,199.33,1166.3818
254,5,1,695.45,208.635,904.085,90.4085,994.4935,199.33,1193.8235
270,5,1,710.34,213.102,923.442,92.3442,1015.7862,199.33,1215.1162
286,5,1,725.3,217.59,942.89,94.289,1037.179,199.33,1236.509
302,5,1,740.16,222.048,962.208,96.2208,1058.4288,199.33,1257.7588
110,6,1,623.53,187.059,810.589,81.0589,891.6479,239.2,1130.8479
126,6,1,644.61,193.383,837.993,83.7993,921.7923,239.2,1160.9923
142,6,1,660.37,198.111,858.481,85.8481,944.3291,239.2,1183.5291
158,6,1,676.18,202.854,879.034,87.9034,966.9374,239.2,1206.1374
174,6,1,691.92,207.576,899.496,89.9496,989.4456,239.2,1228.6456
190,6,1,713.04,213.912,926.952,92.6952,1019.6472,239.2,1258.8472
206,6,1,728.78,218.634,947.414,94.7414,1042.1554,239.2,1281.3554
222,6,1,744.6,223.38,967.98,96.798,1064.778,239.2,1303.978
238,6,1,760.33,228.099,988.429,98.8429,1087.2719,239.2,1326.4719
254,6,1,781.25,234.375,1015.625,101.5625,1117.1875,239.2,1356.3875
270,6,1,797.01,239.103,1036.113,103.6113,1139.7243,239.2,1378.9243
286,6,1,812.83,243.849,1056.679,105.6679,1162.3469,239.2,1401.5469
302,6,1,828.56,248.568,1077.128,107.7128,1184.8408,239.2,1424.0408
110,7,1,698.93,209.679,908.609,90.8609,999.4699,279.07,1278.5399
126,7,1,721.74,216.522,938.262,93.8262,1032.0882,279.07,1311.1582
142,7,1,738.37,221.511,959.881,95.9881,1055.8691,279.07,1334.9391
158,7,1,755.05,226.515,981.565,98.1565,1079.7215,279.07,1358.7915
174,7,1,771.65,231.495,1003.145,100.3145,1103.4595,279.07,1382.5295
190,7,1,794.51,238.353,1032.863,103.2863,1136.1493,279.07,1415.2193
206,7,1,811.11,243.333,1054.443,105.4443,1159.8873,279.07,1438.9573
222,7,1,827.8,248.34,1076.14,107.614,1183.754,279.07,1462.824
238,7,1,844.4,253.32,1097.72,109.772,1207.492,279.07,1486.562
254,7,1,867.05,260.115,1127.165,112.7165,1239.8815,279.07,1518.9515
270,7,1,883.68,265.104,1148.784,114.8784,1263.6624,279.07,1542.7324
286,7,1,900.36,270.108,1170.468,117.0468,1287.5148,279.07,1566.5848
302,7,1,916.96,275.088,1192.048,119.2048,1311.2528,279.07,1590.3228
110,5,2,548.13,164.439,712.569,71.2569,783.8259,398.66,1182.4859
126,5,2,567.48,170.244,737.724,73.7724,811.4964,398.66,1210.1564
142,5,2,582.37,174.711,757.081,75.7081,832.7891,398.66,1231.4491
158,5,2,597.31,179.193,776.503,77.6503,854.1533,398.66,1252.8133
174,5,2,612.19,183.657,795.847,79.5847,875.4317,398.66,1274.0917
190,5,2,631.57,189.471,821.041,82.1041,903.1451,398.66,1301.8051
206,5,2,646.45,193.935,840.385,84.0385,924.4235,398.66,1323.0835
222,5,2,661.4,198.42,859.82,85.982,945.802,398.66,1344.462
238,5,2,676.26,202.878,879.138,87.9138,967.0518,398.66,1365.7118
254,5,2,695.45,208.635,904.085,90.4085,994.4935,398.66,1393.1535
270,5,2,710.34,213.102,923.442,92.3442,1015.7862,398.66,1414.4462
286,5,2,725.3,217.59,942.89,94.289,1037.179,398.66,1435.839
302,5,2,740.16,222.048,962.208,96.2208,1058.4288,398.66,1457.0888
110,6,2,623.53,187.059,810.589,81.0589,891.6479,478.4,1370.0479
126,6,2,644.61,193.383,837.993,83.7993,921.7923,478.4,1400.1923
142,6,2,660.37,198.111,858.481,85.8481,944.3291,478.4,1422.7291
158,6,2,676.18,202.854,879.034,87.9034,966.9374,478.4,1445.3374
174,6,2,691.92,207.576,899.496,89.9496,989.4456,478.4,1467.8456
190,6,2,713.04,213.912,926.952,92.6952,1019.6472,478.4,1498.0472
