Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,251.23,75.369,326.599,32.6599,359.2589,320.6711,679.93
6,1,251.23,75.369,326.599,32.6599,359.2589,384.8011,744.06
7,1,251.23,75.369,326.599,32.6599,359.2589,448.9311,808.19
5,2,251.23,75.369,326.599,32.6599,359.2589,641.3311,1000.59
6,2,251.23,75.369,326.599,32.6599,359.2589,769.6011,1128.86
7,2,251.23,75.369,326.599,32.6599,359.2589,897.8711,1257.13
5,3,251.23,75.369,326.599,32.6599,359.2589,962.0011,1321.26
6,3,251.23,75.369,326.599,32.6599,359.2589,1154.4011,1513.66
7,3,251.23,75.369,326.599,32.6599,359.2589,1346.8011,1706.06
