Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,156,16,172,17.2,189.2
6,177,18,195,19.5,214.5
7,198,20,218,21.8,239.8
