Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,263,78.9,341.9,17.095,358.995,52,410.995
6,1,305,91.5,396.5,19.825,416.325,62,478.325
7,1,347,104.1,451.1,22.555,473.655,73,546.655
5,2,263,78.9,341.9,17.095,358.995,104,462.995
6,2,305,91.5,396.5,19.825,416.325,125,541.325
7,2,347,104.1,451.1,22.555,473.655,146,619.655
5,3,263,78.9,341.9,17.095,358.995,156,514.995
6,3,305,91.5,396.5,19.825,416.325,187,603.325
7,3,347,104.1,451.1,22.555,473.655,218,691.655
