Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,66.3,3.3,69.7,7,76.6
6,75.9,3.8,79.7,8,87.6
7,85.4,4.3,89.7,9,98.6
