Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,414.85,82.97,497.82,49.78,547.6
6,462.52,92.5,555.02,55.5,610.52
7,510.18,102.04,612.22,61.22,673.44
