Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,927.12,278.136,1205.256,120.5256,1325.7816,277.33,1603.1116
126,5,1,947.57,284.271,1231.841,123.1841,1355.0251,277.33,1632.3551
142,5,1,963.71,289.113,1252.823,125.2823,1378.1053,277.33,1655.4353
158,5,1,979.83,293.949,1273.779,127.3779,1401.1569,277.33,1678.4869
174,5,1,995.95,298.785,1294.735,129.4735,1424.2085,277.33,1701.5385
190,5,1,1016.51,304.953,1321.463,132.1463,1453.6093,277.33,1730.9393
206,5,1,1032.63,309.789,1342.419,134.2419,1476.6609,277.33,1753.9909
222,5,1,1048.77,314.631,1363.401,136.3401,1499.7411,277.33,1777.0711
238,5,1,1064.89,319.467,1384.357,138.4357,1522.7927,277.33,1800.1227
254,5,1,1085.26,325.578,1410.838,141.0838,1551.9218,277.33,1829.2518
270,5,1,1101.38,330.414,1431.794,143.1794,1574.9734,277.33,1852.3034
286,5,1,1117.51,335.253,1452.763,145.2763,1598.0393,277.33,1875.3693
302,5,1,1133.64,340.092,1473.732,147.3732,1621.1052,277.33,1898.4352
110,6,1,1074.45,322.335,1396.785,139.6785,1536.4635,332.8,1869.2635
126,6,1,1096.64,328.992,1425.632,142.5632,1568.1952,332.8,1900.9952
142,6,1,1113.64,334.092,1447.732,144.7732,1592.5052,332.8,1925.3052
158,6,1,1130.63,339.189,1469.819,146.9819,1616.8009,332.8,1949.6009
174,6,1,1147.62,344.286,1491.906,149.1906,1641.0966,332.8,1973.8966
190,6,1,1169.91,350.973,1520.883,152.0883,1672.9713,332.8,2005.7713
206,6,1,1186.9,356.07,1542.97,154.297,1697.267,332.8,2030.067
222,6,1,1203.9,361.17,1565.07,156.507,1721.577,332.8,2054.377
238,6,1,1220.89,366.267,1587.157,158.7157,1745.8727,332.8,2078.6727
254,6,1,1242.99,372.897,1615.887,161.5887,1777.4757,332.8,2110.2757
270,6,1,1259.98,377.994,1637.974,163.7974,1801.7714,332.8,2134.5714
286,6,1,1276.98,383.094,1660.074,166.0074,1826.0814,332.8,2158.8814
302,6,1,1293.97,388.191,1682.161,168.2161,1850.3771,332.8,2183.1771
110,7,1,1221.78,366.534,1588.314,158.8314,1747.1454,338.27,2085.4154
126,7,1,1245.71,373.713,1619.423,161.9423,1781.3653,338.27,2119.6353
142,7,1,1263.57,379.071,1642.641,164.2641,1806.9051,338.27,2145.1751
158,7,1,1281.43,384.429,1665.859,166.5859,1832.4449,338.27,2170.7149
174,7,1,1299.29,389.787,1689.077,168.9077,1857.9847,338.27,2196.2547
190,7,1,1323.31,396.993,1720.303,172.0303,1892.3333,338.27,2230.6033
206,7,1,1341.17,402.351,1743.521,174.3521,1917.8731,338.27,2256.1431
222,7,1,1359.03,407.709,1766.739,176.6739,1943.4129,338.27,2281.6829
238,7,1,1376.89,413.067,1789.957,178.9957,1968.9527,338.27,2307.2227
254,7,1,1400.72,420.216,1820.936,182.0936,2003.0296,338.27,2341.2996
