Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,393.1,117.9,511.0,51.1,562.1
6,424.3,127.3,551.6,55.2,606.8
7,455.5,136.7,592.2,59.2,651.4
