Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,339.39,67.878,407.268,40.7268,447.9948,108.3352,556.33
6,1,396.59,79.318,475.908,47.5908,523.4988,130.0012,653.5
7,1,453.79,90.758,544.548,54.4548,599.0028,151.6672,750.67
5,2,339.39,67.878,407.268,40.7268,447.9948,216.6652,664.66
6,2,396.59,79.318,475.908,47.5908,523.4988,260.0012,783.5
7,2,453.79,90.758,544.548,54.4548,599.0028,303.3372,902.34
