Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,516.93,155.079,672.009,67.2009,739.2099,199.33,938.5399
126,5,1,527.14,158.142,685.282,68.5282,753.8102,199.33,953.1402
142,5,1,541.8,162.54,704.34,70.434,774.774,199.33,974.104
158,5,1,556.54,166.962,723.502,72.3502,795.8522,199.33,995.1822
174,5,1,571.21,171.363,742.573,74.2573,816.8303,199.33,1016.1603
190,5,1,586.03,175.809,761.839,76.1839,838.0229,199.33,1037.3529
206,5,1,600.68,180.204,780.884,78.0884,858.9724,199.33,1058.3024
222,5,1,615.42,184.626,800.046,80.0046,880.0506,199.33,1079.3806
238,5,1,626.12,187.836,813.956,81.3956,895.3516,199.33,1094.6816
254,5,1,644.73,193.419,838.149,83.8149,921.9639,199.33,1121.2939
270,5,1,659.39,197.817,857.207,85.7207,942.9277,199.33,1142.2577
286,5,1,674.11,202.233,876.343,87.6343,963.9773,199.33,1163.3073
302,5,1,688.77,206.631,895.401,89.5401,984.9411,199.33,1184.2711
110,6,1,590.6,177.18,767.78,76.778,844.558,239.2,1083.758
126,6,1,601.67,180.501,782.171,78.2171,860.3881,239.2,1099.5881
142,6,1,617.2,185.16,802.36,80.236,882.596,239.2,1121.796
158,6,1,632.81,189.843,822.653,82.2653,904.9183,239.2,1144.1183
174,6,1,648.34,194.502,842.842,84.2842,927.1262,239.2,1166.3262
190,6,1,664.03,199.209,863.239,86.3239,949.5629,239.2,1188.7629
206,6,1,679.55,203.865,883.415,88.3415,971.7565,239.2,1210.9565
222,6,1,695.15,208.545,903.695,90.3695,994.0645,239.2,1233.2645
238,6,1,706.72,212.016,918.736,91.8736,1010.6096,239.2,1249.8096
254,6,1,726.2,217.86,944.06,94.406,1038.466,239.2,1277.666
270,6,1,741.72,222.516,964.236,96.4236,1060.6596,239.2,1299.8596
286,6,1,757.31,227.193,984.503,98.4503,1082.9533,239.2,1322.1533
302,6,1,772.84,231.852,1004.692,100.4692,1105.1612,239.2,1344.3612
110,7,1,664.27,199.281,863.551,86.3551,949.9061,279.07,1228.9761
126,7,1,676.2,202.86,879.06,87.906,966.966,279.07,1246.036
142,7,1,692.6,207.78,900.38,90.038,990.418,279.07,1269.488
158,7,1,709.08,212.724,921.804,92.1804,1013.9844,279.07,1293.0544
174,7,1,725.47,217.641,943.111,94.3111,1037.4221,279.07,1316.4921
190,7,1,742.03,222.609,964.639,96.4639,1061.1029,279.07,1340.1729
206,7,1,758.42,227.526,985.946,98.5946,1084.5406,279.07,1363.6106
222,7,1,774.88,232.464,1007.344,100.7344,1108.0784,279.07,1387.1484
238,7,1,787.32,236.196,1023.516,102.3516,1125.8676,279.07,1404.9376
254,7,1,807.67,242.301,1049.971,104.9971,1154.9681,279.07,1434.0381
270,7,1,824.05,247.215,1071.265,107.1265,1178.3915,279.07,1457.4615
286,7,1,840.51,252.153,1092.663,109.2663,1201.9293,279.07,1480.9993
302,7,1,856.91,257.073,1113.983,111.3983,1225.3813,279.07,1504.4513
110,5,2,516.93,155.079,672.009,67.2009,739.2099,398.66,1137.8699
126,5,2,527.14,158.142,685.282,68.5282,753.8102,398.66,1152.4702
142,5,2,541.8,162.54,704.34,70.434,774.774,398.66,1173.434
158,5,2,556.54,166.962,723.502,72.3502,795.8522,398.66,1194.5122
174,5,2,571.21,171.363,742.573,74.2573,816.8303,398.66,1215.4903
190,5,2,586.03,175.809,761.839,76.1839,838.0229,398.66,1236.6829
206,5,2,600.68,180.204,780.884,78.0884,858.9724,398.66,1257.6324
222,5,2,615.42,184.626,800.046,80.0046,880.0506,398.66,1278.7106
238,5,2,626.12,187.836,813.956,81.3956,895.3516,398.66,1294.0116
254,5,2,644.73,193.419,838.149,83.8149,921.9639,398.66,1320.6239
270,5,2,659.39,197.817,857.207,85.7207,942.9277,398.66,1341.5877
286,5,2,674.11,202.233,876.343,87.6343,963.9773,398.66,1362.6373
302,5,2,688.77,206.631,895.401,89.5401,984.9411,398.66,1383.6011
110,6,2,590.6,177.18,767.78,76.778,844.558,478.4,1322.958
126,6,2,601.67,180.501,782.171,78.2171,860.3881,478.4,1338.7881
142,6,2,617.2,185.16,802.36,80.236,882.596,478.4,1360.996
158,6,2,632.81,189.843,822.653,82.2653,904.9183,478.4,1383.3183
174,6,2,648.34,194.502,842.842,84.2842,927.1262,478.4,1405.5262
190,6,2,664.03,199.209,863.239,86.3239,949.5629,478.4,1427.9629
206,6,2,679.55,203.865,883.415,88.3415,971.7565,478.4,1450.1565
222,6,2,695.15,208.545,903.695,90.3695,994.0645,478.4,1472.4645
238,6,2,706.72,212.016,918.736,91.8736,1010.6096,478.4,1489.0096
254,6,2,726.2,217.86,944.06,94.406,1038.466,478.4,1516.866
270,6,2,741.72,222.516,964.236,96.4236,1060.6596,478.4,1539.0596
286,6,2,757.31,227.193,984.503,98.4503,1082.9533,478.4,1561.3533
302,6,2,772.84,231.852,1004.692,100.4692,1105.1612,478.4,1583.5612
110,7,2,664.27,199.281,863.551,86.3551,949.9061,558.14,1508.0461
126,7,2,676.2,202.86,879.06,87.906,966.966,558.14,1525.106
142,7,2,692.6,207.78,900.38,90.038,990.418,558.14,1548.558
158,7,2,709.08,212.724,921.804,92.1804,1013.9844,558.14,1572.1244
174,7,2,725.47,217.641,943.111,94.3111,1037.4221,558.14,1595.5621
190,7,2,742.03,222.609,964.639,96.4639,1061.1029,558.14,1619.2429
206,7,2,758.42,227.526,985.946,98.5946,1084.5406,558.14,1642.6806
222,7,2,774.88,232.464,1007.344,100.7344,1108.0784,558.14,1666.2184
238,7,2,787.32,236.196,1023.516,102.3516,1125.8676,558.14,1684.0076
254,7,2,807.67,242.301,1049.971,104.9971,1154.9681,558.14,1713.1081
270,7,2,824.05,247.215,1071.265,107.1265,1178.3915,558.14,1736.5315
286,7,2,840.51,252.153,1092.663,109.2663,1201.9293,558.14,1760.0693
302,7,2,856.91,257.073,1113.983,111.3983,1225.3813,558.14,1783.5213
110,5,3,516.93,155.079,672.009,67.2009,739.2099,597.99,1337.1999
126,5,3,527.14,158.142,685.282,68.5282,753.8102,597.99,1351.8002
142,5,3,541.8,162.54,704.34,70.434,774.774,597.99,1372.764
158,5,3,556.54,166.962,723.502,72.3502,795.8522,597.99,1393.8422
174,5,3,571.21,171.363,742.573,74.2573,816.8303,597.99,1414.8203
190,5,3,586.03,175.809,761.839,76.1839,838.0229,597.99,1436.0129
206,5,3,600.68,180.204,780.884,78.0884,858.9724,597.99,1456.9624
222,5,3,615.42,184.626,800.046,80.0046,880.0506,597.99,1478.0406
238,5,3,626.12,187.836,813.956,81.3956,895.3516,597.99,1493.3416
254,5,3,644.73,193.419,838.149,83.8149,921.9639,597.99,1519.9539
270,5,3,659.39,197.817,857.207,85.7207,942.9277,597.99,1540.9177
286,5,3,674.11,202.233,876.343,87.6343,963.9773,597.99,1561.9673
302,5,3,688.77,206.631,895.401,89.5401,984.9411,597.99,1582.9311
110,6,3,590.6,177.18,767.78,76.778,844.558,717.6,1562.158
126,6,3,601.67,180.501,782.171,78.2171,860.3881,717.6,1577.9881
142,6,3,617.2,185.16,802.36,80.236,882.596,717.6,1600.196
158,6,3,632.81,189.843,822.653,82.2653,904.9183,717.6,1622.5183
174,6,3,648.34,194.502,842.842,84.2842,927.1262,717.6,1644.7262
190,6,3,664.03,199.209,863.239,86.3239,949.5629,717.6,1667.1629
206,6,3,679.55,203.865,883.415,88.3415,971.7565,717.6,1689.3565
222,6,3,695.15,208.545,903.695,90.3695,994.0645,717.6,1711.6645
238,6,3,706.72,212.016,918.736,91.8736,1010.6096,717.6,1728.2096
254,6,3,726.2,217.86,944.06,94.406,1038.466,717.6,1756.066
270,6,3,741.72,222.516,964.236,96.4236,1060.6596,717.6,1778.2596
286,6,3,757.31,227.193,984.503,98.4503,1082.9533,717.6,1800.5533
302,6,3,772.84,231.852,1004.692,100.4692,1105.1612,717.6,1822.7612
110,7,3,664.27,199.281,863.551,86.3551,949.9061,837.21,1787.1161
126,7,3,676.2,202.86,879.06,87.906,966.966,837.21,1804.176
142,7,3,692.6,207.78,900.38,90.038,990.418,837.21,1827.628
158,7,3,709.08,212.724,921.804,92.1804,1013.9844,837.21,1851.1944
174,7,3,725.47,217.641,943.111,94.3111,1037.4221,837.21,1874.6321
190,7,3,742.03,222.609,964.639,96.4639,1061.1029,837.21,1898.3129
206,7,3,758.42,227.526,985.946,98.5946,1084.5406,837.21,1921.7506
222,7,3,774.88,232.464,1007.344,100.7344,1108.0784,837.21,1945.2884
238,7,3,787.32,236.196,1023.516,102.3516,1125.8676,837.21,1963.0776
254,7,3,807.67,242.301,1049.971,104.9971,1154.9681,837.21,1992.1781
270,7,3,824.05,247.215,1071.265,107.1265,1178.3915,837.21,2015.6015
286,7,3,840.51,252.153,1092.663,109.2663,1201.9293,837.21,2039.1393
302,7,3,856.91,257.073,1113.983,111.3983,1225.3813,837.21,2062.5913
