Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,638.92,191.676,830.596,83.0596,913.6556,225.33,1138.9856
126,5,1,643.85,193.155,837.005,83.7005,920.7055,225.33,1146.0355
142,5,1,659.51,197.853,857.363,85.7363,943.0993,225.33,1168.4293
158,5,1,675.22,202.566,877.786,87.7786,965.5646,225.33,1190.8946
174,5,1,690.87,207.261,898.131,89.8131,987.9441,225.33,1213.2741
190,5,1,710.93,213.279,924.209,92.4209,1016.6299,225.33,1241.9599
206,5,1,726.58,217.974,944.554,94.4554,1039.0094,225.33,1264.3394
222,5,1,742.29,222.687,964.977,96.4977,1061.4747,225.33,1286.8047
238,5,1,757.94,227.382,985.322,98.5322,1083.8542,225.33,1309.1842
254,5,1,778.0,233.4,1011.4,101.14,1112.54,225.33,1337.87
270,5,1,793.64,238.092,1031.732,103.1732,1134.9052,225.33,1360.2352
286,5,1,809.36,242.808,1052.168,105.2168,1157.3848,225.33,1382.7148
302,5,1,825.02,247.506,1072.526,107.2526,1179.7786,225.33,1405.1086
110,6,1,731.65,219.495,951.145,95.1145,1046.2595,270.4,1316.6595
126,6,1,738.32,221.496,959.816,95.9816,1055.7976,270.4,1326.1976
142,6,1,754.84,226.452,981.292,98.1292,1079.4212,270.4,1349.8212
158,6,1,771.42,231.426,1002.846,100.2846,1103.1306,270.4,1373.5306
174,6,1,787.94,236.382,1024.322,102.4322,1126.7542,270.4,1397.1542
190,6,1,809.73,242.919,1052.649,105.2649,1157.9139,270.4,1428.3139
206,6,1,826.25,247.875,1074.125,107.4125,1181.5375,270.4,1451.9375
222,6,1,842.82,252.846,1095.666,109.5666,1205.2326,270.4,1475.6326
238,6,1,859.34,257.802,1117.142,111.7142,1228.8562,270.4,1499.2562
254,6,1,881.13,264.339,1145.469,114.5469,1260.0159,270.4,1530.4159
270,6,1,897.64,269.292,1166.932,116.6932,1283.6252,270.4,1554.0252
286,6,1,914.23,274.269,1188.499,118.8499,1307.3489,270.4,1577.7489
302,6,1,930.75,279.225,1209.975,120.9975,1330.9725,270.4,1601.3725
110,7,1,824.38,247.314,1071.694,107.1694,1178.8634,315.47,1494.3334
126,7,1,832.79,249.837,1082.627,108.2627,1190.8897,315.47,1506.3597
142,7,1,850.17,255.051,1105.221,110.5221,1215.7431,315.47,1531.2131
158,7,1,867.62,260.286,1127.906,112.7906,1240.6966,315.47,1556.1666
174,7,1,885.01,265.503,1150.513,115.0513,1265.5643,315.47,1581.0343
190,7,1,908.53,272.559,1181.089,118.1089,1299.1979,315.47,1614.6679
206,7,1,925.92,277.776,1203.696,120.3696,1324.0656,315.47,1639.5356
