Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
222,7,1,943.35,283.005,1226.355,122.6355,1348.9905,315.47,1664.4605
238,7,1,960.74,288.222,1248.962,124.8962,1373.8582,315.47,1689.3282
254,7,1,984.26,295.278,1279.538,127.9538,1407.4918,315.47,1722.9618
270,7,1,1001.64,300.492,1302.132,130.2132,1432.3452,315.47,1747.8152
286,7,1,1019.1,305.73,1324.83,132.483,1457.313,315.47,1772.783
302,7,1,1036.48,310.944,1347.424,134.7424,1482.1664,315.47,1797.6364
110,5,2,638.92,191.676,830.596,83.0596,913.6556,450.66,1364.3156
126,5,2,643.85,193.155,837.005,83.7005,920.7055,450.66,1371.3655
142,5,2,659.51,197.853,857.363,85.7363,943.0993,450.66,1393.7593
158,5,2,675.22,202.566,877.786,87.7786,965.5646,450.66,1416.2246
174,5,2,690.87,207.261,898.131,89.8131,987.9441,450.66,1438.6041
190,5,2,710.93,213.279,924.209,92.4209,1016.6299,450.66,1467.2899
206,5,2,726.58,217.974,944.554,94.4554,1039.0094,450.66,1489.6694
222,5,2,742.29,222.687,964.977,96.4977,1061.4747,450.66,1512.1347
238,5,2,757.94,227.382,985.322,98.5322,1083.8542,450.66,1534.5142
254,5,2,778.0,233.4,1011.4,101.14,1112.54,450.66,1563.2
270,5,2,793.64,238.092,1031.732,103.1732,1134.9052,450.66,1585.5652
286,5,2,809.36,242.808,1052.168,105.2168,1157.3848,450.66,1608.0448
302,5,2,825.02,247.506,1072.526,107.2526,1179.7786,450.66,1630.4386
110,6,2,731.65,219.495,951.145,95.1145,1046.2595,540.8,1587.0595
126,6,2,738.32,221.496,959.816,95.9816,1055.7976,540.8,1596.5976
142,6,2,754.84,226.452,981.292,98.1292,1079.4212,540.8,1620.2212
158,6,2,771.42,231.426,1002.846,100.2846,1103.1306,540.8,1643.9306
174,6,2,787.94,236.382,1024.322,102.4322,1126.7542,540.8,1667.5542
190,6,2,809.73,242.919,1052.649,105.2649,1157.9139,540.8,1698.7139
206,6,2,826.25,247.875,1074.125,107.4125,1181.5375,540.8,1722.3375
222,6,2,842.82,252.846,1095.666,109.5666,1205.2326,540.8,1746.0326
238,6,2,859.34,257.802,1117.142,111.7142,1228.8562,540.8,1769.6562
254,6,2,881.13,264.339,1145.469,114.5469,1260.0159,540.8,1800.8159
270,6,2,897.64,269.292,1166.932,116.6932,1283.6252,540.8,1824.4252
286,6,2,914.23,274.269,1188.499,118.8499,1307.3489,540.8,1848.1489
302,6,2,930.75,279.225,1209.975,120.9975,1330.9725,540.8,1871.7725
110,7,2,824.38,247.314,1071.694,107.1694,1178.8634,630.94,1809.8034
126,7,2,832.79,249.837,1082.627,108.2627,1190.8897,630.94,1821.8297
142,7,2,850.17,255.051,1105.221,110.5221,1215.7431,630.94,1846.6831
158,7,2,867.62,260.286,1127.906,112.7906,1240.6966,630.94,1871.6366
174,7,2,885.01,265.503,1150.513,115.0513,1265.5643,630.94,1896.5043
190,7,2,908.53,272.559,1181.089,118.1089,1299.1979,630.94,1930.1379
206,7,2,925.92,277.776,1203.696,120.3696,1324.0656,630.94,1955.0056
222,7,2,943.35,283.005,1226.355,122.6355,1348.9905,630.94,1979.9305
238,7,2,960.74,288.222,1248.962,124.8962,1373.8582,630.94,2004.7982
254,7,2,984.26,295.278,1279.538,127.9538,1407.4918,630.94,2038.4318
270,7,2,1001.64,300.492,1302.132,130.2132,1432.3452,630.94,2063.2852
286,7,2,1019.1,305.73,1324.83,132.483,1457.313,630.94,2088.253
302,7,2,1036.48,310.944,1347.424,134.7424,1482.1664,630.94,2113.1064
110,5,3,638.92,191.676,830.596,83.0596,913.6556,675.99,1589.6456
126,5,3,643.85,193.155,837.005,83.7005,920.7055,675.99,1596.6955
142,5,3,659.51,197.853,857.363,85.7363,943.0993,675.99,1619.0893
158,5,3,675.22,202.566,877.786,87.7786,965.5646,675.99,1641.5546
174,5,3,690.87,207.261,898.131,89.8131,987.9441,675.99,1663.9341
190,5,3,710.93,213.279,924.209,92.4209,1016.6299,675.99,1692.6199
206,5,3,726.58,217.974,944.554,94.4554,1039.0094,675.99,1714.9994
222,5,3,742.29,222.687,964.977,96.4977,1061.4747,675.99,1737.4647
238,5,3,757.94,227.382,985.322,98.5322,1083.8542,675.99,1759.8442
254,5,3,778.0,233.4,1011.4,101.14,1112.54,675.99,1788.53
270,5,3,793.64,238.092,1031.732,103.1732,1134.9052,675.99,1810.8952
286,5,3,809.36,242.808,1052.168,105.2168,1157.3848,675.99,1833.3748
302,5,3,825.02,247.506,1072.526,107.2526,1179.7786,675.99,1855.7686
110,6,3,731.65,219.495,951.145,95.1145,1046.2595,811.2,1857.4595
126,6,3,738.32,221.496,959.816,95.9816,1055.7976,811.2,1866.9976
142,6,3,754.84,226.452,981.292,98.1292,1079.4212,811.2,1890.6212
158,6,3,771.42,231.426,1002.846,100.2846,1103.1306,811.2,1914.3306
174,6,3,787.94,236.382,1024.322,102.4322,1126.7542,811.2,1937.9542
190,6,3,809.73,242.919,1052.649,105.2649,1157.9139,811.2,1969.1139
206,6,3,826.25,247.875,1074.125,107.4125,1181.5375,811.2,1992.7375
222,6,3,842.82,252.846,1095.666,109.5666,1205.2326,811.2,2016.4326
238,6,3,859.34,257.802,1117.142,111.7142,1228.8562,811.2,2040.0562
254,6,3,881.13,264.339,1145.469,114.5469,1260.0159,811.2,2071.2159
270,6,3,897.64,269.292,1166.932,116.6932,1283.6252,811.2,2094.8252
286,6,3,914.23,274.269,1188.499,118.8499,1307.3489,811.2,2118.5489
302,6,3,930.75,279.225,1209.975,120.9975,1330.9725,811.2,2142.1725
110,7,3,824.38,247.314,1071.694,107.1694,1178.8634,946.41,2125.2734
126,7,3,832.79,249.837,1082.627,108.2627,1190.8897,946.41,2137.2997
142,7,3,850.17,255.051,1105.221,110.5221,1215.7431,946.41,2162.1531
158,7,3,867.62,260.286,1127.906,112.7906,1240.6966,946.41,2187.1066
174,7,3,885.01,265.503,1150.513,115.0513,1265.5643,946.41,2211.9743
190,7,3,908.53,272.559,1181.089,118.1089,1299.1979,946.41,2245.6079
206,7,3,925.92,277.776,1203.696,120.3696,1324.0656,946.41,2270.4756
222,7,3,943.35,283.005,1226.355,122.6355,1348.9905,946.41,2295.4005
238,7,3,960.74,288.222,1248.962,124.8962,1373.8582,946.41,2320.2682
254,7,3,984.26,295.278,1279.538,127.9538,1407.4918,946.41,2353.9018
270,7,3,1001.64,300.492,1302.132,130.2132,1432.3452,946.41,2378.7552
286,7,3,1019.1,305.73,1324.83,132.483,1457.313,946.41,2403.723
302,7,3,1036.48,310.944,1347.424,134.7424,1482.1664,946.41,2428.5764
