Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
5,136.07,40.82,176.89,17.69,194.58
6,158.6,47.58,206.18,20.62,226.8
7,181.13,54.34,235.47,23.55,259.02
