Machine Type,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
non-ATHS FPARS,5,1,1243.31,372.993,1616.303,210.11939,1826.42239,390.0,2216.42239
non-ATHS FPARS,6,1,1442.64,432.792,1875.432,243.80616,2119.23816,468.0,2587.23816
non-ATHS FPARS,7,1,1641.97,492.591,2134.561,277.49293,2412.05393,546.0,2958.05393
non-ATHS FPARS,5,2,1243.31,372.993,1616.303,210.11939,1826.42239,671.67,2498.09239
non-ATHS FPARS,6,2,1442.64,432.792,1875.432,243.80616,2119.23816,806.0,2925.23816
non-ATHS FPARS,7,2,1641.97,492.591,2134.561,277.49293,2412.05393,940.33,3352.38393
ATHS FPARS,5,1,1482.09,444.627,1926.717,250.47321,2177.19021,390.0,2567.19021
ATHS FPARS,6,1,1719.56,515.868,2235.428,290.60564,2526.03364,468.0,2994.03364
ATHS FPARS,7,1,1957.03,587.109,2544.139,330.73807,2874.87707,546.0,3420.87707
ATHS FPARS,5,2,1482.09,444.627,1926.717,250.47321,2177.19021,671.67,2848.86021
ATHS FPARS,6,2,1719.56,515.868,2235.428,290.60564,2526.03364,806.0,3332.03364
ATHS FPARS,7,2,1957.03,587.109,2544.139,330.73807,2874.87707,940.33,3815.20707
