Machine ID,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
AFCS200 2,5,1,306,380.81,760.36,1447.23,251.33
AFCS200 3,5,1,306.06,380.81,760.36,1447.23,251.33
