Machine ID,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
AFCS200 2,5,1,301.43,375.13,749.02,1425.58,251.33
AFCS200 3,5,1,301.48,375.11,748.99,1425.58,251.33
