Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,8.67,14.18
5,2,17.33,22.84
5,3,26.0,31.51
6,1,10.4,15.91
6,2,20.8,26.31
6,3,31.2,36.71
7,1,12.13,17.64
7,2,24.27,29.77
7,3,36.4,41.91
