Machine ID,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
ATU 2,7,3,366.39,271.77,171.88,810.0344,236.6
ATU 1,7,2,330.72,245.3,155.14,731.1644,157.73
