Machine ID,Operation (days/wk),Tours/Day,MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
ATU 2,7,2,330.71,245.30,155.14,731.15,157.73
ATU 1,7,2,330.71,245.30,155.14,731.15,157.73
