Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,56.33,519.9404
5,2,112.67,576.2804
5,3,169.0,632.6104
6,1,67.6,586.1224
6,2,135.2,653.7224
6,3,202.8,721.3224
7,1,78.87,652.3044
7,2,157.73,731.1644
7,3,236.6,810.0344
