Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,320.6711,679.93
6,1,384.8011,744.06
7,1,448.9311,808.19
5,2,641.3311,1000.59
6,2,769.6011,1128.86
7,2,897.8711,1257.13
5,3,962.0011,1321.26
6,3,1154.4011,1513.66
7,3,1346.8011,1706.06
