Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
5,1,290.3369,689.55
5,2,550.9229,979.88
5,3,811.5089,1270.21
6,1,378.1469,777.36
6,2,696.8029,1125.76
6,3,1015.4589,1474.16
7,1,465.9569,865.17
7,2,842.6729,1271.63
7,3,1219.3989,1678.1
