Machine ID,Operation (days/wk),MM7,MPE9,ET10,Total (hrs/yr),Operational Maintenance (hrs/yr)
VFS 2,5,60.1,2.3,.68,63.07,
VFS 3,5,60.1,2.3,.68,63.07,
